"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"PARTNO";"POPULARITY";"SPICEPREFIX";
"C1";"1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"C1206C105K3RAC7215 ";"63";"C";
"C2";"220nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"885382207008";"63";"C";
"C3";"1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"C1206C105K3RAC7215 ";"63";"C";
"IC1";"AD8574TRUZ-EP";"AD8574TRUZ-EP";"SOP65P640X120-14N";"Amplificateurs oprationnels - Amplis-Op QUAD PRECISION RAIL RAIL CHOPPER OP AMP";"AD8574TRUZ-EP";"https://www.arrow.com/en/products/ad8574truz-ep/analog-devices?region=nac";"Amplificateurs oprationnels - Amplis-Op QUAD PRECISION RAIL RAIL CHOPPER OP AMP";"1.2mm";"Analog Devices";"AD8574TRUZ-EP";"584-AD8574TRUZ-EP";"https://www.mouser.co.uk/ProductDetail/Analog-Devices/AD8574TRUZ-EP?qs=wUXugUrL1qxNfkZ2pBeSrA%3D%3D";"";"";"";
"IC2";"ADS131M03IPWR";"ADS131M03IPWR";"SOP65P640X120-20N";"Analog to Digital Converters - ADC 24-bit, 32-kSPS, 3-channel, simultaneous-sampling, delta-sigma ADC";"";"";"Analog to Digital Converters - ADC 24-bit, 32-kSPS, 3-channel, simultaneous-sampling, delta-sigma ADC";"1.2mm";"Texas Instruments";"ADS131M03IPWR";"595-ADS131M03IPWR";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/ADS131M03IPWR?qs=Jslch3jnSjnSosXolUzTvg%3D%3D";"";"";"";
"J1";"009276006021106";"009276006021106";"009276006021106";"AVX INTERCONNECT - 009276006021106 - CONNECTOR, IDC, 6 WAY, 18 AWG";"009276006021106";"https://www.arrow.com/en/products/009276006021106/avx?region=nac";"AVX INTERCONNECT - 009276006021106 - CONNECTOR, IDC, 6 WAY, 18 AWG";"5mm";"AVX";"009276006021106";"581-009276006021106";"https://www.mouser.co.uk/ProductDetail/AVX/009276006021106?qs=QtI0yD1FyOMc2fy6i4jFlw%3D%3D";"";"";"";
"LED1";"150060GS75000";"150060GS75000";"LEDC1608X80N";"Wurth Elektronik WL-SMCW 520 nm Green LED, 1608 (0603) Clear SMD package";"";"";"Wurth Elektronik WL-SMCW 520 nm Green LED, 1608 (0603) Clear SMD package";"0.8mm";"Wurth Elektronik";"150060GS75000";"710-150060GS75000";"https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/150060GS75000?qs=LlUlMxKIyB0UYkq5lDO8nA%3D%3D";"";"";"";
"M1";"";"NUCLEO-L452RE";"NUCLEO-64";"No existe un outline (Layer Dimension) para esta librería. En su lugar se utilizó una referencia en tDocu.";"";"";"";"";"";"";"";"";"";"";"";
"R1";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"TNPW04021K15BYEP";"85";"R";
"R2";"2k2";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"RP0603BRD072K2L";"85";"R";
"R3";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"TNPW04021K15BYEP";"85";"R";
"R4";"2k2";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"RP0603BRD072K2L";"85";"R";
"R5";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"TNPW04021K15BYEP ";"85";"R";
"R6";"2k2";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"RP0603BRD072K2L";"85";"R";
"R7";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"TNPW04021K15BYEP";"85";"R";
"R8";"2k2";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"RP0603BRD072K2L";"85";"R";
"R9";"12";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"RT0603DRE0712RL";"85";"R";
